[DEBUG] 2021-11-24 21:52:46,758(0) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:65): enter ECIPwithCLS  
[DEBUG] 2021-11-24 22:09:46,227(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:13  
[DEBUG] 2021-11-24 22:09:46,227(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:10010111000010111101  
[DEBUG] 2021-11-24 22:09:46,227(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:16  
[DEBUG] 2021-11-24 22:09:46,227(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:11010001110110011111  
[DEBUG] 2021-11-24 22:09:46,228(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:2  
[DEBUG] 2021-11-24 22:09:46,228(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:01100110101110010110  
[DEBUG] 2021-11-24 22:09:46,228(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:9  
[DEBUG] 2021-11-24 22:09:46,228(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:10000100101000010100  
[DEBUG] 2021-11-24 22:09:46,228(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:3  
[DEBUG] 2021-11-24 22:09:46,228(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:105): map slotToVirtualList  
[DEBUG] 2021-11-24 22:09:46,229(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:163): tags in actual list select slots  
[DEBUG] 2021-11-24 22:09:46,229(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): tag cid:11110100100100000001  
[DEBUG] 2021-11-24 22:09:46,229(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:169): slot:0  
[DEBUG] 2021-11-24 22:09:46,230(12) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): tag cid:11010001110110011111  
[DEBUG] 2021-11-24 22:09:46,230(12) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:169): slot:2  
[DEBUG] 2021-11-24 22:09:46,230(12) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): tag cid:10010111000010111101  
[DEBUG] 2021-11-24 22:09:46,230(12) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:169): slot:16  
[DEBUG] 2021-11-24 22:09:46,230(12) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:179): print CidMap. key: slot; value: overlapped code  
[DEBUG] 2021-11-24 22:37:55,628(0) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:69): enter ECIPwithCLS  
[DEBUG] 2021-11-24 22:37:55,631(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:70): virtual tag list size =12actual tag list size =3  
[DEBUG] 2021-11-24 22:37:55,631(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:71): virtual tag list:   
[DEBUG] 2021-11-24 22:37:55,632(4) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:73): actual tag list:   
[DEBUG] 2021-11-24 22:37:55,632(4) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:75): unreadTagNum = 12  
[DEBUG] 2021-11-24 22:37:55,632(4) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:10110000001011111110  
[DEBUG] 2021-11-24 22:37:55,634(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:8  
[DEBUG] 2021-11-24 22:37:55,634(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:00111001111010010101  
[DEBUG] 2021-11-24 22:37:55,635(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:11  
[DEBUG] 2021-11-24 22:37:55,635(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:01010101100100010101  
[DEBUG] 2021-11-24 22:37:55,635(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:11  
[DEBUG] 2021-11-24 22:37:55,635(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:10000101101011100000  
[DEBUG] 2021-11-24 22:37:55,635(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:18  
[DEBUG] 2021-11-24 22:37:55,635(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:01101111010001110110  
[DEBUG] 2021-11-24 22:37:55,635(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:4  
[DEBUG] 2021-11-24 22:37:55,635(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:11100001110001000001  
[DEBUG] 2021-11-24 22:37:55,637(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:3  
[DEBUG] 2021-11-24 22:37:55,637(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:00100000010110111011  
[DEBUG] 2021-11-24 22:37:55,637(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:5  
[DEBUG] 2021-11-24 22:37:55,637(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:10001000101100110111  
[DEBUG] 2021-11-24 22:37:55,637(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:13  
[DEBUG] 2021-11-24 22:37:55,637(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:10101010011000100110  
[DEBUG] 2021-11-24 22:37:55,637(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:0  
[DEBUG] 2021-11-24 22:37:55,638(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:00100111111010111011  
[DEBUG] 2021-11-24 22:37:55,638(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:1  
[DEBUG] 2021-11-24 22:37:55,638(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:01101111000110111110  
[DEBUG] 2021-11-24 22:37:55,638(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:8  
[DEBUG] 2021-11-24 22:37:55,638(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): tag:11010010101110110101  
[DEBUG] 2021-11-24 22:37:55,638(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:94): slot:3  
[DEBUG] 2021-11-24 22:37:55,638(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:105): map slotToVirtualList  
[DEBUG] 2021-11-24 22:37:55,639(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:163): tags in actual list select slots  
[DEBUG] 2021-11-24 22:37:55,639(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): tag cid:00100111111010111011  
[DEBUG] 2021-11-24 22:37:55,639(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:169): slot:1  
[DEBUG] 2021-11-24 22:37:55,639(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): tag cid:10101010011000100110  
[DEBUG] 2021-11-24 22:37:55,639(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:169): slot:0  
[DEBUG] 2021-11-24 22:37:55,639(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): tag cid:01010101100100010101  
[DEBUG] 2021-11-24 22:37:55,639(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:169): slot:11  
[DEBUG] 2021-11-24 22:37:55,640(12) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:179): print CidMap. key: slot; value: overlapped code  
[DEBUG] 2021-11-24 22:38:38,280(0) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:69): virtual tag list size =12actual tag list size =3  
[DEBUG] 2021-11-24 22:38:38,283(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:70): virtual tag list:   
[DEBUG] 2021-11-24 22:38:38,283(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:72): actual tag list:   
[DEBUG] 2021-11-24 22:38:38,283(3) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:74): unreadTagNum = 12  
[DEBUG] 2021-11-24 22:38:38,284(4) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:010000  
[DEBUG] 2021-11-24 22:38:38,284(4) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:4  
[DEBUG] 2021-11-24 22:38:38,286(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:010000  
[DEBUG] 2021-11-24 22:38:38,286(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:4  
[DEBUG] 2021-11-24 22:38:38,286(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:011010  
[DEBUG] 2021-11-24 22:38:38,286(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:14  
[DEBUG] 2021-11-24 22:38:38,286(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:100101  
[DEBUG] 2021-11-24 22:38:38,286(6) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:5  
[DEBUG] 2021-11-24 22:38:38,287(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:100011  
[DEBUG] 2021-11-24 22:38:38,287(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:3  
[DEBUG] 2021-11-24 22:38:38,287(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:101110  
[DEBUG] 2021-11-24 22:38:38,287(7) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:14  
[DEBUG] 2021-11-24 22:38:38,288(8) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:001010  
[DEBUG] 2021-11-24 22:38:38,289(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:18  
[DEBUG] 2021-11-24 22:38:38,289(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:011110  
[DEBUG] 2021-11-24 22:38:38,289(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:18  
[DEBUG] 2021-11-24 22:38:38,289(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:000000  
[DEBUG] 2021-11-24 22:38:38,289(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:8  
[DEBUG] 2021-11-24 22:38:38,289(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:011000  
[DEBUG] 2021-11-24 22:38:38,289(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:12  
[DEBUG] 2021-11-24 22:38:38,289(9) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:001011  
[DEBUG] 2021-11-24 22:38:38,290(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:19  
[DEBUG] 2021-11-24 22:38:38,290(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:92): tag:010011  
[DEBUG] 2021-11-24 22:38:38,290(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:93): slot:7  
[DEBUG] 2021-11-24 22:38:38,290(10) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:104): map slotToVirtualList  
[DEBUG] 2021-11-24 22:38:38,291(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:162): tags in actual list select slots  
[DEBUG] 2021-11-24 22:38:38,291(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:167): tag cid:001010  
[DEBUG] 2021-11-24 22:38:38,291(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): slot:18  
[DEBUG] 2021-11-24 22:38:38,291(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:167): tag cid:100101  
[DEBUG] 2021-11-24 22:38:38,291(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): slot:5  
[DEBUG] 2021-11-24 22:38:38,291(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:167): tag cid:010011  
[DEBUG] 2021-11-24 22:38:38,291(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): slot:7  
[DEBUG] 2021-11-24 22:38:38,291(11) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:178): print CidMap. key: slot; value: overlapped code  
[DEBUG] 2021-11-24 22:42:51,083(0) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:69): virtual tag list size =12 actual tag list size =3  
[DEBUG] 2021-11-24 22:42:51,087(4) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:70): virtual tag list:   
[DEBUG] 2021-11-24 22:42:51,088(5) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:72): actual tag list:   
[DEBUG] 2021-11-24 22:42:51,088(5) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:74): unreadTagNum = 12  
[DEBUG] 2021-11-24 22:42:51,088(5) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:104): map slotToVirtualList  
[DEBUG] 2021-11-24 22:42:51,090(7) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:162): tags in actual list select slots  
[DEBUG] 2021-11-24 22:42:51,090(7) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:167): tag cid:000110  
[DEBUG] 2021-11-24 22:42:51,090(7) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): slot:11  
[DEBUG] 2021-11-24 22:42:51,090(7) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:167): tag cid:101101  
[DEBUG] 2021-11-24 22:42:51,090(7) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): slot:10  
[DEBUG] 2021-11-24 22:42:51,091(8) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:167): tag cid:010011  
[DEBUG] 2021-11-24 22:42:51,091(8) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): slot:4  
[DEBUG] 2021-11-24 22:42:51,091(8) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:178): print CidMap. key: slot; value: overlapped code  
[DEBUG] 2021-11-24 22:42:51,091(8) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:189): the reader remove missing tags  
[DEBUG] 2021-11-24 22:42:51,091(8) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:198): remove tag (cid:001111)  
[DEBUG] 2021-11-24 22:42:51,091(8) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:198): remove tag (cid:111001)  
[DEBUG] 2021-11-24 22:42:51,093(10) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:198): remove tag (cid:001110)  
[DEBUG] 2021-11-24 22:42:51,093(10) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:198): remove tag (cid:010100)  
[DEBUG] 2021-11-24 22:42:51,093(10) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:198): remove tag (cid:000010)  
[DEBUG] 2021-11-24 22:42:51,093(10) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:198): remove tag (cid:010110)  
[DEBUG] 2021-11-24 22:42:51,094(11) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:198): remove tag (cid:101010)  
[DEBUG] 2021-11-24 22:42:51,094(11) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:198): remove tag (cid:000011)  
[DEBUG] 2021-11-24 22:42:51,094(11) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:198): remove tag (cid:011101)  
[DEBUG] 2021-11-24 22:42:51,094(11) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:216): after removing, virtualList:  
[DEBUG] 2021-11-24 22:42:51,094(11) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:218): after removing, map slotToTagList:  
[DEBUG] 2021-11-24 22:42:51,094(11) --> [main] ECIP.ECIPwithCLS.randomIdentificationPhase(ECIPwithCLS.java:252): CidMap:  
[DEBUG] 2021-11-24 22:42:51,095(12) --> [main] ECIP.ECIPwithCLS.randomIdentificationPhase(ECIPwithCLS.java:270): in slot NO.4code = 010011  
[DEBUG] 2021-11-24 22:42:51,095(12) --> [main] ECIP.ECIPwithCLS.randomIdentificationPhase(ECIPwithCLS.java:271): identify one tag cid: 010011  
[DEBUG] 2021-11-24 22:42:51,095(12) --> [main] ECIP.ECIPwithCLS.randomIdentificationPhase(ECIPwithCLS.java:270): in slot NO.10code = 101101  
[DEBUG] 2021-11-24 22:42:51,095(12) --> [main] ECIP.ECIPwithCLS.randomIdentificationPhase(ECIPwithCLS.java:271): identify one tag cid: 101101  
[DEBUG] 2021-11-24 22:42:51,095(12) --> [main] ECIP.ECIPwithCLS.randomIdentificationPhase(ECIPwithCLS.java:270): in slot NO.11code = 000110  
[DEBUG] 2021-11-24 22:42:51,095(12) --> [main] ECIP.ECIPwithCLS.randomIdentificationPhase(ECIPwithCLS.java:271): identify one tag cid: 000110  
[DEBUG] 2021-11-24 22:42:51,095(12) --> [main] ECIP.ECIPwithCLS.randomIdentificationPhase(ECIPwithCLS.java:296): in this round, read 0 cids  
[DEBUG] 2021-11-24 22:42:51,095(12) --> [main] ECIP.ECIPwithCLS.allocateBasedOnXIndex(ECIPwithCLS.java:306): The reader allocates slot based on  x index, tags belonging to the same slot is divided to one or two parts  
[DEBUG] 2021-11-24 22:42:51,096(13) --> [main] ECIP.ECIPwithCLS.allocateBasedOnXIndex(ECIPwithCLS.java:328): after allocating, new slotToVirtualList:  
[DEBUG] 2021-11-24 22:42:51,096(13) --> [main] ECIP.ECIPwithCLS.responseBasedOnXIndex(ECIPwithCLS.java:339): Tags in actual tag list select slots based on x index and respond to the reader  
[DEBUG] 2021-11-24 22:42:51,096(13) --> [main] ECIP.ECIPwithCLS.responseBasedOnXIndex(ECIPwithCLS.java:358): after selecting, new CidMap:   
[DEBUG] 2021-11-24 22:42:51,096(13) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:189): the reader remove missing tags  
[DEBUG] 2021-11-24 22:42:51,096(13) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:216): after removing, virtualList:  
[DEBUG] 2021-11-24 22:42:51,096(13) --> [main] ECIP.ECIPwithCLS.removeMissing(ECIPwithCLS.java:218): after removing, map slotToTagList:  
[DEBUG] 2021-11-24 22:42:51,096(13) --> [main] ECIP.ECIPwithCLS.rearrangedIdentificationPhase(ECIPwithCLS.java:428): in this round, read 0 cids  
[DEBUG] 2021-11-24 22:50:37,147(0) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:69): virtual tag list size =12 actual tag list size =3  
[DEBUG] 2021-11-24 22:50:37,151(4) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:70): virtual tag list:   
[DEBUG] 2021-11-24 22:50:37,151(4) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:72): actual tag list:   
[DEBUG] 2021-11-24 22:50:37,151(4) --> [main] ECIP.ECIPwithCLS.<init>(ECIPwithCLS.java:74): unreadTagNum = 12  
[DEBUG] 2021-11-24 22:50:37,151(4) --> [main] ECIP.ECIPwithCLS.ecipWithCLS(ECIPwithCLS.java:442): round = 1  
[DEBUG] 2021-11-24 22:50:37,152(5) --> [main] ECIP.ECIPwithCLS.allocateRandomly(ECIPwithCLS.java:104): map slotToVirtualList  
[DEBUG] 2021-11-24 22:50:37,154(7) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:162): tags in actual list select slots  
[DEBUG] 2021-11-24 22:50:37,155(8) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:167): tag cid:110000  
[DEBUG] 2021-11-24 22:50:37,155(8) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): slot:9  
[DEBUG] 2021-11-24 22:50:37,155(8) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:167): tag cid:011000  
[DEBUG] 2021-11-24 22:50:37,155(8) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): slot:5  
[DEBUG] 2021-11-24 22:50:37,155(8) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:167): tag cid:001101  
[DEBUG] 2021-11-24 22:50:37,155(8) --> [main] ECIP.ECIPwithCLS.selectRandomly(ECIPwithCLS.java:168): slot:14  
